Id,LotFrontage,LotArea,OverallQual,MasVnrArea,ExterQual,BsmtQual,TotalBsmtSF,HeatingQC,GrLivArea,KitchenQual,OpenPorchSF,SalePrice,PropertyAge,TotalBedsNBaths,GarageCarsNArea,HasFireplace,HasWoodDeck,GarageAttached,FoundationPConc,FoundationCBlock,FoundationBrkTil,NH_NAmes,NH_CollgCr,NH_OldTown,NH_Others,HouseStyle_1Story,HouseStyle_2Story
2799,90.0,11250,7,227.0,3,4,1054.0,5,1939,4,84,227000,8,12.0,1665.0,1,1,1.0,1,0,0,0,1,0,0,0,1
160,69.28709055876686,9830,5,0.0,3,3,1063.0,5,1287,4,17,162000,51,9.0,1152.0,1,1,0.0,0,1,0,1,0,0,0,1,0
1993,35.0,4571,5,0.0,3,3,616.0,5,1232,3,0,114000,97,7.0,960.0,0,1,0.0,0,0,1,0,0,1,1,0,1
446,90.0,12878,7,418.0,4,4,1760.0,5,1760,4,190,269500,6,11.0,1166.0,1,1,1.0,1,0,0,0,0,0,1,1,0
1567,76.0,9880,6,0.0,3,3,1096.0,3,1118,3,0,171000,31,8.0,358.0,1,1,1.0,0,1,0,0,0,0,1,0,0
2278,70.0,8402,5,0.0,3,4,1120.0,5,1120,3,30,147000,0,7.0,0.0,0,0,0.0,1,0,0,0,0,0,1,1,0
1516,55.0,5687,5,0.0,3,3,780.0,5,1716,2,184,135900,96,12.0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,1
1947,60.0,10134,5,0.0,3,3,735.0,4,1034,3,39,109000,67,6.0,240.0,0,0,0.0,0,1,0,0,0,1,1,0,0
2663,65.0,8850,7,0.0,3,3,815.0,5,1690,3,0,144000,90,8.0,225.0,1,0,0.0,0,0,1,0,0,1,1,0,0
1132,63.0,7500,7,120.0,3,4,1080.0,5,1080,4,0,141000,4,8.0,0.0,0,0,0.0,1,0,0,0,0,0,1,1,0
2483,69.28709055876686,9019,6,0.0,3,4,636.0,5,1320,4,40,150000,12,9.0,944.0,0,0,1.0,1,0,0,0,0,0,1,0,1
1572,42.0,4084,7,340.0,4,4,1277.0,4,1501,4,0,241500,22,9.0,1024.0,1,1,1.0,0,1,0,0,0,0,1,1,0
1512,62.0,7692,4,0.0,3,5,416.0,4,1204,3,0,100000,54,7.0,312.0,0,0,0.0,0,1,0,0,0,0,1,0,0
2209,50.0,6305,5,0.0,3,2,920.0,5,954,2,0,119750,69,6.0,240.0,1,0,0.0,1,0,0,0,0,0,1,1,0
538,76.0,10141,8,264.0,4,4,1512.0,5,1512,4,36,203000,5,8.0,2535.0,0,1,1.0,1,0,0,0,0,0,1,1,0
1141,50.0,8480,6,120.0,4,4,886.0,5,1680,4,96,163000,15,11.0,948.0,0,1,1.0,1,0,0,0,0,0,1,0,1
44,70.0,10171,7,168.0,4,4,1517.0,5,1535,4,0,214000,6,9.0,1064.0,0,0,1.0,1,0,0,0,0,0,1,1,0
2484,69.28709055876686,8900,4,0.0,3,3,1056.0,3,1056,3,42,107000,40,7.0,384.0,0,0,0.0,0,1,0,0,0,0,1,1,0
544,43.0,11492,7,132.0,4,4,913.0,5,2122,4,74,220000,13,12.0,1118.0,1,0,1.0,1,0,0,0,0,0,1,0,1
1562,44.0,3811,7,174.0,4,5,1594.0,5,1646,5,53,250000,4,9.0,964.0,1,1,1.0,1,0,0,0,0,0,1,1,0
2559,80.0,9600,5,0.0,3,3,1251.0,3,1433,3,0,161000,45,9.0,882.0,1,1,1.0,0,1,0,1,0,0,0,1,0
2779,95.0,13450,7,0.0,4,4,916.0,5,1861,4,91,200000,4,12.0,984.0,0,1,0.0,1,0,0,0,1,0,0,0,1
548,75.0,10762,6,0.0,3,4,626.0,3,1217,3,28,120000,29,8.0,288.0,1,0,1.0,0,1,0,0,0,0,1,0,1
997,69.28709055876686,15038,6,0.0,3,4,916.0,4,1636,3,84,173000,12,10.0,772.0,1,1,1.0,1,0,0,0,0,0,1,0,1
2544,70.0,8393,5,122.0,3,3,1626.0,5,1712,3,54,145000,47,10.0,1176.0,0,1,1.0,0,1,0,1,0,0,0,1,0
1893,85.0,9350,6,108.0,3,4,1302.0,5,1302,4,0,158000,43,10.0,309.0,0,1,1.0,0,1,0,1,0,0,0,0,0
2242,64.0,11067,2,0.0,3,3,0.0,5,845,3,0,68104,68,5.0,256.0,0,1,0.0,0,0,1,0,0,0,1,0,0
2598,60.0,5400,5,0.0,3,3,1073.0,5,1073,3,0,108480,85,5.0,326.0,0,0,0.0,0,0,1,0,0,1,1,1,0
637,70.0,8750,5,0.0,3,3,1202.0,3,1202,3,35,120000,53,8.0,304.0,0,0,1.0,0,1,0,1,0,0,0,1,0
2546,80.0,8800,6,425.0,3,3,1251.0,3,1251,3,116,160000,42,8.0,461.0,1,0,1.0,0,1,0,1,0,0,0,1,0
1390,94.0,9239,5,0.0,3,3,960.0,5,960,4,0,144900,45,8.0,300.0,0,1,1.0,0,1,0,0,0,0,1,1,0
345,88.0,10179,6,0.0,3,4,945.0,5,1608,3,30,189500,12,10.0,940.0,1,1,1.0,1,0,0,0,0,0,1,0,1
2707,72.0,10791,4,0.0,3,3,0.0,3,1296,3,0,90000,39,8.0,1032.0,0,0,0.0,0,0,0,0,0,0,1,1,0
2243,75.0,8250,5,0.0,3,3,957.0,2,1991,3,0,119600,112,11.0,0.0,0,0,0.0,0,1,0,0,0,0,1,0,1
664,90.0,5400,4,0.0,2,3,840.0,5,1374,3,0,105000,89,7.0,338.0,0,0,0.0,1,0,0,0,0,1,1,0,0
1669,70.0,8294,4,0.0,3,3,858.0,3,872,3,0,123000,36,6.0,1920.0,0,0,0.0,0,1,0,1,0,0,0,1,0
2049,75.0,11235,5,0.0,3,4,925.0,3,999,3,176,130000,44,8.0,308.0,0,1,0.0,0,1,0,0,0,0,1,0,0
2052,61.0,7943,4,192.0,3,3,1029.0,4,1029,3,0,118500,46,7.0,261.0,0,1,1.0,0,1,0,0,0,0,1,1,0
525,84.0,10603,8,121.0,4,5,900.0,5,1795,4,45,270000,3,12.0,2346.0,1,1,1.0,1,0,0,0,0,0,1,0,1
606,100.0,10004,6,180.0,3,3,1516.0,3,1516,3,0,167000,45,8.0,944.0,0,0,1.0,0,1,0,1,0,0,0,1,0
302,40.0,5436,4,0.0,3,3,796.0,4,1154,4,96,125500,88,9.0,240.0,0,0,0.0,0,0,1,0,0,0,1,0,0
2179,60.0,7024,5,0.0,3,5,1090.0,4,1090,3,49,157000,2,8.0,900.0,0,0,1.0,1,0,0,0,0,0,1,1,0
489,42.0,8433,6,0.0,3,4,794.0,5,1514,3,72,190000,9,11.0,788.0,1,0,1.0,1,0,0,0,0,0,1,0,1
639,80.0,10400,4,0.0,3,3,1200.0,3,1200,3,189,144000,53,8.0,294.0,1,0,1.0,0,1,0,1,0,0,0,1,0
1871,69.28709055876686,11500,5,164.0,3,3,1680.0,2,1680,3,0,136905,31,10.0,1056.0,0,0,0.0,0,1,0,0,0,0,1,1,0
1892,80.0,9200,6,98.0,3,3,1042.0,3,1042,3,0,161000,42,7.0,880.0,0,1,1.0,0,1,0,1,0,0,0,0,0
35,24.0,2280,7,0.0,3,4,836.0,5,836,3,30,120000,35,5.0,308.0,0,0,1.0,0,1,0,0,0,0,1,1,0
1194,72.0,8872,5,300.0,3,3,912.0,5,912,4,240,147000,43,7.0,1152.0,0,0,0.0,0,1,0,1,0,0,0,1,0
2759,78.0,11645,7,0.0,4,4,1734.0,5,1734,4,24,260000,1,10.0,1320.0,0,1,1.0,1,0,0,0,1,0,0,1,0
800,74.0,10778,7,0.0,4,4,1054.0,4,1061,4,36,162000,19,7.0,924.0,0,1,1.0,1,0,0,0,0,0,1,0,0
2386,98.0,16033,9,378.0,4,5,1833.0,5,1850,4,112,326000,2,11.0,2316.0,1,1,1.0,1,0,0,0,0,0,1,1,0
1691,107.0,14450,9,315.0,5,5,2121.0,5,2121,5,98,415298,1,11.0,2196.0,1,1,1.0,1,0,0,0,0,0,1,1,0
2800,90.0,11250,7,0.0,4,4,930.0,5,1995,4,170,237000,11,12.0,1220.0,1,1,1.0,1,0,0,0,1,0,0,0,1
2061,66.0,7742,5,0.0,3,3,955.0,5,955,3,0,127000,41,8.0,386.0,0,0,1.0,0,1,0,0,0,0,1,1,0
2227,69.28709055876686,17871,4,0.0,3,4,1680.0,4,1680,4,0,170000,12,9.0,1256.0,0,1,1.0,1,0,0,0,0,0,1,1,0
2283,69.28709055876686,32463,4,149.0,3,3,1249.0,5,1622,3,0,168000,46,9.0,5424.0,1,1,0.0,0,1,0,0,0,0,1,1,0
2201,60.0,7200,5,252.0,3,4,731.0,5,1768,4,0,175000,70,10.0,240.0,1,0,0.0,0,0,1,0,0,0,1,0,0
449,110.0,15274,9,724.0,4,5,2452.0,5,2452,5,116,445000,6,14.0,2658.0,1,0,1.0,1,0,0,0,0,0,1,1,0
2116,69.28709055876686,40000,6,472.0,4,4,1444.0,4,2144,4,98,277000,49,10.0,778.0,1,0,1.0,0,1,0,0,0,0,1,0,0
